SpatialDimValueCode,Location,Period,Dim1,FactValueNumeric
LKA,Sri Lanka,2019,Both sexes,12.89
IND,India,2019,Both sexes,12.91
MDV,Maldives,2019,Both sexes,2.76
BGD,Bangladesh,2019,Both sexes,3.85
BTN,Bhutan,2019,Both sexes,5.07
AFG,Afghanistan,2019,Both sexes,5.96
PAK,Pakistan,2019,Both sexes,9.77
NPL,Nepal,2019,Both sexes,9.77
IND,India,2018,Both sexes,12.88
LKA,Sri Lanka,2018,Both sexes,13.24
MDV,Maldives,2018,Both sexes,2.92
BGD,Bangladesh,2018,Both sexes,3.75
BTN,Bhutan,2018,Both sexes,5.11
AFG,Afghanistan,2018,Both sexes,5.91
NPL,Nepal,2018,Both sexes,9.69
PAK,Pakistan,2018,Both sexes,9.79
IND,India,2017,Both sexes,12.48
LKA,Sri Lanka,2017,Both sexes,13.67
MDV,Maldives,2017,Both sexes,3.11
BGD,Bangladesh,2017,Both sexes,3.68
BTN,Bhutan,2017,Both sexes,5.14
AFG,Afghanistan,2017,Both sexes,5.95
NPL,Nepal,2017,Both sexes,9.63
PAK,Pakistan,2017,Both sexes,9.98
PAK,Pakistan,2016,Both sexes,10.02
IND,India,2016,Both sexes,12.6
LKA,Sri Lanka,2016,Both sexes,14.17
MDV,Maldives,2016,Both sexes,3.15
BGD,Bangladesh,2016,Both sexes,3.6
BTN,Bhutan,2016,Both sexes,5.05
AFG,Afghanistan,2016,Both sexes,6.01
NPL,Nepal,2016,Both sexes,9.68
IND,India,2015,Both sexes,12.92
LKA,Sri Lanka,2015,Both sexes,14.7
MDV,Maldives,2015,Both sexes,2.95
BGD,Bangladesh,2015,Both sexes,3.64
BTN,Bhutan,2015,Both sexes,5.16
AFG,Afghanistan,2015,Both sexes,5.99
NPL,Nepal,2015,Both sexes,9.83
PAK,Pakistan,2015,Both sexes,9.96
LKA,Sri Lanka,2014,Both sexes,12.72
IND,India,2014,Both sexes,13.49
MDV,Maldives,2014,Both sexes,2.88
BGD,Bangladesh,2014,Both sexes,3.73
BTN,Bhutan,2014,Both sexes,5.19
AFG,Afghanistan,2014,Both sexes,6.02
NPL,Nepal,2014,Both sexes,9.93
PAK,Pakistan,2014,Both sexes,9.96
NPL,Nepal,2013,Both sexes,10.26
IND,India,2013,Both sexes,14.45
LKA,Sri Lanka,2013,Both sexes,14.98
MDV,Maldives,2013,Both sexes,2.8
BGD,Bangladesh,2013,Both sexes,3.8
BTN,Bhutan,2013,Both sexes,5.2
AFG,Afghanistan,2013,Both sexes,6.17
PAK,Pakistan,2013,Both sexes,9.98
NPL,Nepal,2012,Both sexes,10.59
IND,India,2012,Both sexes,15.07
LKA,Sri Lanka,2012,Both sexes,16.4
MDV,Maldives,2012,Both sexes,2.88
BGD,Bangladesh,2012,Both sexes,4
BTN,Bhutan,2012,Both sexes,5.22
AFG,Afghanistan,2012,Both sexes,6.24
PAK,Pakistan,2012,Both sexes,9.97
PAK,Pakistan,2011,Both sexes,10.02
NPL,Nepal,2011,Both sexes,10.73
IND,India,2011,Both sexes,15.5
LKA,Sri Lanka,2011,Both sexes,17.85
MDV,Maldives,2011,Both sexes,2.88
BGD,Bangladesh,2011,Both sexes,4.34
BTN,Bhutan,2011,Both sexes,5.21
AFG,Afghanistan,2011,Both sexes,6.42
PAK,Pakistan,2010,Both sexes,10.16
NPL,Nepal,2010,Both sexes,10.52
IND,India,2010,Both sexes,15.56
LKA,Sri Lanka,2010,Both sexes,21.87
MDV,Maldives,2010,Both sexes,3.05
BGD,Bangladesh,2010,Both sexes,4.82
BTN,Bhutan,2010,Both sexes,5.24
AFG,Afghanistan,2010,Both sexes,6.67
PAK,Pakistan,2009,Both sexes,10.3
NPL,Nepal,2009,Both sexes,10.46
IND,India,2009,Both sexes,15.59
LKA,Sri Lanka,2009,Both sexes,22.72
MDV,Maldives,2009,Both sexes,3.29
BGD,Bangladesh,2009,Both sexes,5.06
BTN,Bhutan,2009,Both sexes,5.38
AFG,Afghanistan,2009,Both sexes,6.84
NPL,Nepal,2008,Both sexes,10.21
PAK,Pakistan,2008,Both sexes,10.54
IND,India,2008,Both sexes,16.32
LKA,Sri Lanka,2008,Both sexes,17.47
MDV,Maldives,2008,Both sexes,3.49
BGD,Bangladesh,2008,Both sexes,5.25
BTN,Bhutan,2008,Both sexes,5.52
AFG,Afghanistan,2008,Both sexes,7.17
PAK,Pakistan,2007,Both sexes,10.73
IND,India,2007,Both sexes,16.69
LKA,Sri Lanka,2007,Both sexes,20.08
MDV,Maldives,2007,Both sexes,3.57
BGD,Bangladesh,2007,Both sexes,5.48
BTN,Bhutan,2007,Both sexes,5.67
AFG,Afghanistan,2007,Both sexes,7.42
NPL,Nepal,2007,Both sexes,9.97
PAK,Pakistan,2006,Both sexes,11
IND,India,2006,Both sexes,17.14
LKA,Sri Lanka,2006,Both sexes,18.41
MDV,Maldives,2006,Both sexes,3.77
BGD,Bangladesh,2006,Both sexes,5.6
BTN,Bhutan,2006,Both sexes,5.85
AFG,Afghanistan,2006,Both sexes,7.56
NPL,Nepal,2006,Both sexes,9.74
PAK,Pakistan,2005,Both sexes,10.97
IND,India,2005,Both sexes,17.01
LKA,Sri Lanka,2005,Both sexes,28.58
MDV,Maldives,2005,Both sexes,3.83
BGD,Bangladesh,2005,Both sexes,5.57
BTN,Bhutan,2005,Both sexes,5.99
AFG,Afghanistan,2005,Both sexes,7.64
NPL,Nepal,2005,Both sexes,9.98
PAK,Pakistan,2004,Both sexes,11.21
IND,India,2004,Both sexes,16.82
LKA,Sri Lanka,2004,Both sexes,22.08
MDV,Maldives,2004,Both sexes,3.83
BGD,Bangladesh,2004,Both sexes,5.56
BTN,Bhutan,2004,Both sexes,6.12
AFG,Afghanistan,2004,Both sexes,7.77
NPL,Nepal,2004,Both sexes,9.83
PAK,Pakistan,2003,Both sexes,11.28
IND,India,2003,Both sexes,17.25
LKA,Sri Lanka,2003,Both sexes,21.2
MDV,Maldives,2003,Both sexes,4.55
BGD,Bangladesh,2003,Both sexes,5.81
BTN,Bhutan,2003,Both sexes,6.35
AFG,Afghanistan,2003,Both sexes,7.72
NPL,Nepal,2003,Both sexes,9.95
NPL,Nepal,2002,Both sexes,10.14
PAK,Pakistan,2002,Both sexes,11.26
IND,India,2002,Both sexes,18.16
LKA,Sri Lanka,2002,Both sexes,21.46
MDV,Maldives,2002,Both sexes,4.69
BGD,Bangladesh,2002,Both sexes,6.1
BTN,Bhutan,2002,Both sexes,6.46
AFG,Afghanistan,2002,Both sexes,7.85
NPL,Nepal,2001,Both sexes,10.39
PAK,Pakistan,2001,Both sexes,11.2
IND,India,2001,Both sexes,18.68
LKA,Sri Lanka,2001,Both sexes,22.38
MDV,Maldives,2001,Both sexes,5.08
BGD,Bangladesh,2001,Both sexes,6.45
BTN,Bhutan,2001,Both sexes,6.82
AFG,Afghanistan,2001,Both sexes,7.89
NPL,Nepal,2000,Both sexes,10.87
PAK,Pakistan,2000,Both sexes,11.1
IND,India,2000,Both sexes,19.09
LKA,Sri Lanka,2000,Both sexes,27.43
MDV,Maldives,2000,Both sexes,5.3
BGD,Bangladesh,2000,Both sexes,6.87
BTN,Bhutan,2000,Both sexes,6.91
AFG,Afghanistan,2000,Both sexes,7.71
