Police reserve levels as at March 2017,,,,,,,
,,,,,,,
PCC,31-Mar-17,,,,,,
,£m,£m,£m,£m,%,£m,%
,General fund,Earmarked reserves,Total resource reserves ,Capital reserves,Resource reserves as a percentage of funding ,Change since March 2011,% Change since March 2011
Avon & Somerset,10.4,26.7,37.1,7.1,13.6%,4.9,15.1%
Bedfordshire,3.0,10.2,13.2,0.6,13.0%,3.8,40.0%
Cambridgeshire,7.2,21.3,28.5,1.2,21.9%,10.4,57.6%
Cheshire,5.8,8.5,14.3,5.8,8.3%,-3.9,-21.6%
Cleveland,8.0,6.4,14.4,0.7,11.7%,1.3,10.3%
Cumbria,3.0,21.3,24.3,6.3,24.2%,2.3,10.5%
Derbyshire,4.0,28.2,32.2,4.8,19.8%,-2.9,-8.2%
Devon & Cornwall,11.9,46.9,58.8,6.1,20.9%,30.3,106.3%
Dorset,7.4,5.7,13.1,3.9,10.9%,-4.6,-26.0%
Durham,5.7,7.3,13.0,5.3,11.5%,-2.6,-16.4%
Dyfed-Powys,4.5,21.9,26.4,0.9,27.3%,-0.4,-1.4%
Essex,13.2,9.1,22.2,0.0,8.3%,-9.9,-30.7%
Gloucestershire,5.4,20.9,26.3,4.4,24.7%,4.4,20.0%
Greater Manchester,13.2,66.5,79.8,0.0,14.6%,29.4,58.5%
Gwent,10.9,40.3,51.2,1.6,42.3%,11.0,27.5%
Hampshire,10.0,75.7,85.7,0.0,28.1%,48.4,129.9%
Hertfordshire,6.0,36.7,42.7,11.3,23.3%,23.3,120.3%
Humberside,5.2,29.1,34.3,0.5,20.0%,0.5,1.4%
Kent,5.6,27.2,32.8,28.7,11.7%,12.2,59.3%
Lancashire,9.9,36.9,46.7,0.4,18.0%,26.6,132.5%
Leicestershire,6.0,23.8,29.8,0.6,17.5%,6.0,25.2%
Lincolnshire,5.7,13.1,18.7,0.9,16.9%,8.2,77.1%
Merseyside,12.2,17.1,29.3,0.0,9.5%,-0.9,-3.0%
MOPAC,23.5,216.8,240.2,349.8,9.6%,-29.4,-10.9%
Norfolk,4.5,20.8,25.3,0.5,17.0%,3.3,15.2%
North Wales,5.2,29.3,34.4,3.7,24.1%,6.2,22.2%
North Yorkshire,9.7,6.5,16.2,1.5,11.5%,-11.9,-42.3%
Northamptonshire,3.5,6.8,10.3,0.0,8.5%,-3.5,-25.4%
Northumbria,11.9,5.1,16.9,4.0,6.5%,-38.9,-69.7%
Nottinghamshire,7.1,11.8,18.9,3.3,9.9%,2.5,15.6%
South Wales,9.4,21.6,31.1,0.0,11.8%,-5.6,-15.2%
South Yorkshire,17.6,28.8,46.4,0.0,19.3%,8.4,22.1%
Staffordshire,5.5,7.8,13.3,0.3,7.5%,-0.1,-0.9%
Suffolk,5.0,5.8,10.8,0.3,9.6%,-3.7,-25.3%
Surrey,8.7,6.4,15.1,12.1,7.2%,2.3,18.1%
Sussex,10.8,50.5,61.3,1.9,23.9%,9.6,18.6%
Thames Valley,18.1,34.7,52.8,15.8,14.0%,11.5,27.8%
Warwickshire,6.8,19.2,26.0,0.0,28.7%,5.6,27.4%
West Mercia,13.5,39.6,53.1,0.4,26.4%,21.1,65.7%
West Midlands,12.0,94.0,106.0,15.1,20.2%,26.9,34.0%
West Yorkshire,29.3,61.8,91.1,8.6,22.3%,60.7,200.0%
Wiltshire,2.6,17.1,19.7,0.5,18.8%,3.0,17.9%
Total England & Wales,378.8,"1,284.9","1,663.7",508.8,15.1%,266.1,19.0%
,,,,,,,
Source: All figures taken from audited PCC Group statements of accounts,,,,,,,
No figures available for City of London Police,,,,,,,
Figures may not sum due to rounding,,,,,,,
"Figures show total PCC usable reserves levels, including reserves held on behalf of others",,,,,,,
"Greater Manchester figures are as at 7 May 2017, which was the end of their accounting period. This is due to the transfer of PCC responsibilities to the metro mayor",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
