Police reserve levels as at March 2016,,,,
,,,,
PCC,31-Mar-16,,,
,£m,,,
,General fund,Earmarked reserves,Total resource reserves ,Capital reserves
Avon & Somerset,10.4,29.3,39.7,11.6
Bedfordshire,3.0,10.7,13.7,0.0
Cambridgeshire,7.2,19.4,26.6,1.7
Cheshire,5.8,15.1,20.9,7.1
Cleveland,8.6,6.6,15.2,0.4
Cumbria,3.0,20.9,23.9,6.0
Derbyshire,4.0,35.5,39.5,9.3
Devon & Cornwall,6.2,57.5,63.7,4.7
Dorset,7.3,5.7,13.0,3.9
Durham,5.7,7.1,12.7,0.8
Dyfed-Powys,4.5,27.9,32.4,0.5
Essex,13.2,3.5,16.7,4.1
Gloucestershire,5.3,23.5,28.8,1.4
Greater Manchester,13.1,54.3,67.5,3.1
Gwent,9.1,38.9,48.0,1.6
Hampshire,17.5,69.5,87.0,0.0
Hertfordshire,5.3,42.5,47.8,14.5
Humberside,5.2,28.2,33.4,0.0
Kent,5.6,25.3,30.9,31.6
Lancashire,9.9,32.7,42.5,5.9
Leicestershire,6.0,22.3,28.3,0.0
Lincolnshire,5.7,12.8,18.5,0.5
Merseyside,12.2,24.3,36.5,0.0
MOPAC,23.5,274.4,297.9,4.5
Norfolk,4.5,24.5,29.0,0.0
North Wales,4.2,31.5,35.7,3.5
North Yorkshire,9.7,17.8,27.5,1.2
Northamptonshire,4.4,12.4,16.8,0.0
Northumbria,15.4,4.5,19.9,0.0
Nottinghamshire,7.1,8.2,15.3,0.9
South Wales,9.2,20.0,29.2,0.0
South Yorkshire,17.6,22.7,40.3,0.0
Staffordshire,6.3,10.8,17.1,0.0
Suffolk,5.0,7.4,12.4,0.0
Surrey,11.5,7.1,18.6,13.1
Sussex,10.8,53.5,64.3,8.9
Thames Valley,18.4,32.3,50.7,7.2
Warwickshire,6.8,24.4,31.2,2.0
West Mercia,13.5,46.6,60.1,5.6
West Midlands,12.0,116.0,128.0,14.6
West Yorkshire,34.7,65.4,100.1,8.0
Wiltshire,2.6,19.6,22.2,0.0
"Total England & Wales
",391.0,"1,412.6","1,803.6",178.1
,,,,
Source: All figures taken from audited PCC Group statements of accounts,,,,
No figures available for City of London Police,,,,
Figures may not sum due to rounding,,,,
"Figures show total PCC usable reserves levels, including reserves held on behalf of others",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
