Police reserve levels as at March 2012,,,,
,,,,
PCC,31-Mar-12,,,
,£m,,,
,General fund,Earmarked reserves,Total resource reserves ,Capital reserves
Avon & Somerset,7.5,29.6,37.1,2.4
Bedfordshire,2.9,6.6,9.5,0.4
Cambridgeshire,7.0,19.1,26.1,26.3
Cheshire,5.2,10.4,15.6,4.4
Cleveland,8.2,6.0,14.2,0.3
Cumbria,5.1,18.9,24.1,3.3
Derbyshire,3.3,36.9,40.2,6.5
Devon & Cornwall,6.2,32.1,38.3,6.6
Dorset,4.0,14.0,18.0,0.3
Durham,6.1,11.3,17.3,0.0
Dyfed-Powys,4.5,26.5,31.0,1.3
Essex,23.0,3.7,26.7,16.6
Gloucestershire,3.2,22.4,25.6,3.6
Greater Manchester,38.3,15.6,53.9,1.3
Gwent,8.9,31.1,40.0,0.0
Hampshire,12.0,38.1,50.1,0.0
Hertfordshire,6.8,18.1,24.9,3.1
Humberside,5.2,29.3,34.5,0.0
Kent,6.0,16.9,22.9,18.4
Lancashire,9.0,17.4,26.3,3.1
Leicestershire,5.3,23.2,28.5,0.0
Lincolnshire,5.7,5.8,11.4,0.5
Merseyside,9.2,28.8,38.0,0.6
MOPAC,34.5,218.1,252.6,21.3
Norfolk,4.5,25.7,30.2,3.5
North Wales,7.2,29.0,36.2,3.8
North Yorkshire,8.8,20.1,28.9,0.0
Northamptonshire,3.5,7.1,10.7,11.0
Northumbria,26.6,18.6,45.2,0.5
Nottinghamshire,7.1,13.2,20.2,1.0
South Wales,7.3,33.4,40.7,0.0
South Yorkshire,33.5,13.3,46.8,1.6
Staffordshire,5.4,9.4,14.8,0.0
Suffolk,5.8,11.4,17.1,0.1
Surrey,8.9,6.5,15.4,0.4
Sussex,13.9,54.4,68.3,4.9
Thames Valley,14.3,33.9,48.2,23.2
Warwickshire,2.0,22.0,24.0,1.0
West Mercia,6.2,31.6,37.8,2.8
West Midlands,12.0,90.5,102.5,37.1
West Yorkshire,30.7,11.0,41.6,1.2
Wiltshire,8.9,11.7,20.7,0.0
"Total England & Wales
",433.7,"1,122.5","1,556.2",212.3
,,,,
Source: All figures taken from audited PCC Group statements of accounts,,,,
No figures available for City of London Police,,,,
Figures may not sum due to rounding,,,,
"Figures show total PCC usable reserves levels, including reserves held on behalf of others",,,,
"Before the introduction of PCCs in 2012, police reserves were held by Police Authorities",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
