Police reserve levels as at March 2014,,,,
,,,,
PCC,31-Mar-14,,,
,£m,,,
,General fund,Earmarked reserves,Total resource reserves ,Capital reserves
Avon & Somerset,14.4,31.3,45.7,4.1
Bedfordshire,4.3,13.7,18.0,0.0
Cambridgeshire,9.2,16.5,25.7,26.8
Cheshire,5.9,17.7,23.6,7.6
Cleveland,7.0,7.2,14.2,0.3
Cumbria,5.1,27.7,32.9,4.9
Derbyshire,3.3,39.7,43.0,8.7
Devon & Cornwall,6.2,55.2,61.4,4.8
Dorset,4.5,8.0,12.5,2.2
Durham,5.9,15.0,20.9,0.2
Dyfed-Powys,4.5,37.6,42.1,1.0
Essex,18.0,7.4,25.5,12.1
Gloucestershire,5.1,27.7,32.8,1.0
Greater Manchester,12.5,54.6,67.1,2.9
Gwent,10.8,30.2,41.0,1.0
Hampshire,16.0,57.5,73.4,1.1
Hertfordshire,4.9,31.7,36.7,16.8
Humberside,5.4,31.6,37.0,0.0
Kent,5.6,25.5,31.2,30.3
Lancashire,9.9,25.9,35.8,6.9
Leicestershire,6.0,21.6,27.6,0.0
Lincolnshire,5.7,9.1,14.8,0.8
Merseyside,9.6,38.6,48.2,0.0
MOPAC,23.5,379.9,403.4,23.2
Norfolk,4.5,32.4,36.8,0.1
North Wales,7.2,30.9,38.1,3.2
North Yorkshire,9.7,33.9,43.6,0.0
Northamptonshire,4.1,14.1,18.2,3.4
Northumbria,21.8,10.9,32.7,0.1
Nottinghamshire,7.1,19.5,26.6,1.7
South Wales,9.0,24.9,33.9,0.0
South Yorkshire,13.8,33.8,47.6,0.0
Staffordshire,6.3,13.9,20.2,0.0
Suffolk,5.0,12.5,17.5,0.1
Surrey,11.1,8.3,19.5,11.0
Sussex,9.8,63.5,73.4,6.0
Thames Valley,16.5,32.7,49.1,9.3
Warwickshire,6.0,27.2,33.2,1.8
West Mercia,12.0,41.1,53.1,4.4
West Midlands,12.0,114.7,126.7,38.6
West Yorkshire,20.5,61.3,81.8,5.5
Wiltshire,3.2,21.5,24.7,0.0
"Total England & Wales
",382.9,"1,608.0","1,990.9",241.8
,,,,
Source: All figures taken from audited PCC Group statements of accounts,,,,
No figures available for City of London Police,,,,
Figures may not sum due to rounding,,,,
"Figures show total PCC usable reserves levels, including reserves held on behalf of others",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
